order_id,order_date,ship_date,platform,category,product_name,unit_price,quantity,gross_sales,campaign,voucher_code,discount_pct,discount_value,shipping_cost,net_sales,payment_method,customer_segment,region,stock_status,order_status,customer_rating,priority_flag
612,2024-04-19,2024-04-24,Tokopedia,Home Living,Table Lamp,188905,4,755620,Flash Sale,10.0,10.0,75562,12000,680058,E-Wallet,Vip,Bekasi,Preorder,Completed,5.0,Y
112,2024-02-23,2024-06-19,Tiktok Shop,Electronics,Power Bank,1476873,1,1476873,Normal Day,16.97602474864656,0.0,0,18000,1476873,COD,Returning,Makassar,In Stock,Completed,5.0,N
1186,2024-06-12,2024-06-19,Tokopedia,Fashion,Women Dress,231072,2,462144,Mega Campaign,20.0,20.0,92429,15000,369715,Virtual Account,Returning,Surabaya,In Stock,Delivered,3.0,Yes
1511,2024-02-23,2024-06-19,Tokopedia,Home Living,Vacuum Cleaner,512063,3,1536189,Flash Sale,10.0,10.0,153619,0,1382570,Bank Transfer,New,Yogyakarta,In Stock,Delivered,4.0,No
772,2024-12-08,2024-06-19,Tokopedia,Beauty,Body Lotion,221586,2,443172,Payday Sale,15.0,15.0,66476,0,376696,COD,Returning,Surabaya,In Stock,Delivered,5.0,Normal
880,2024-02-23,2024-06-19,Blibli,Beauty,Lip Tint,297973,8,2383784,Normal Day,16.97602474864656,0.0,0,12000,0,Credit Card,Vip,Makassar,Low Stock,Cancelled,4.2484316185696365,Yes
592,2024-02-23,2024-06-19,Blibli,Fashion,Sneakers,102844,8,822752,Mega Campaign,20.0,20.0,164550,25000,0,E-Wallet,Returning,Bekasi,In Stock,Cancel,4.2484316185696365,Yes
1178,2024-02-23,2024-06-19,Blibli,Sports,Dumbbell 5Kg,710898,2,1421796,Payday Sale,15.0,15.0,213269,18000,1208527,Virtual Account,Vip,Bandung,In Stock,Delivered,5.0,Priority
276,2024-02-23,2024-06-19,Lazada,Sports,Cycling Gloves,526279,4,2105116,Payday Sale,15.0,15.0,315767,20000,1789349,E-Wallet,Returning,Bandung,In Stock,Delivered,3.0,Normal
995,2024-02-23,2024-06-19,Tiktok Shop,Fashion,Men T-Shirt,105558,3,316674,Mega Campaign,20.0,20.0,63335,25000,253339,Bank Transfer,Vip,Semarang,In Stock,Delivered,5.0,Y
1139,2024-09-15,2024-06-19,Shopee,Home Living,Vacuum Cleaner,285779,3,857337,Flash Sale,10.0,10.0,85734,9000,771603,Bank Transfer,New,Medan,In Stock,Completed,3.0,Normal
1113,2024-02-23,2024-06-19,Shopee,Sports,Dumbbell 5Kg,139875,2,279750,Flash Sale,10.0,10.0,27975,0,251775,E-Wallet,Vip,Makassar,In Stock,Delivered,5.0,Priority
66,2024-02-23,2024-01-24,Lazada,Beauty,Skincare Serum,153791,6,922746,Mega Campaign,20.0,20.0,184549,20000,738197,Credit Card,Returning,Bandung,Low Stock,Delivered,4.0,Y
1090,2024-03-01,2024-06-19,Shopee,Home_Living,Storage Box,339343,2,678686,Normal Day,16.97602474864656,0.0,0,12000,678686,Bank Transfer,Returning,Semarang,Low Stock,Delivered,5.0,N
212,2024-07-02,2024-06-19,Tiktok Shop,Sports,Running Shoes,533649,1,533649,Normal Day,16.97602474864656,0.0,0,9000,533649,COD,New,Bandung,In Stock,Delivered,5.0,No
1675,2024-02-23,2024-06-19,Blibli,Beauty,Body Lotion,284795,3,854385,Flash Sale,10.0,10.0,85438,12000,768947,Virtual Account,Returning,Semarang,In Stock,On Delivery,4.2484316185696365,Normal
451,2024-02-23,2024-12-04,Tokopedia,Home Living,Blender,1177079,1,1177079,Flash Sale,10.0,10.0,117708,15000,1059371,Virtual Account,Returning,Semarang,In Stock,Delivered,5.0,No
1882,2024-04-06,2024-04-10,Lazada,Sports,Skipping Rope,458316,2,916632,Normal Day,16.97602474864656,0.0,0,25000,916632,Credit Card,Returning,Bekasi,In Stock,On Delivery,4.2484316185696365,Normal
129,2024-02-23,2024-06-19,Blibli,Fashion,Hoodie,232656,6,1395936,Flash Sale,10.0,10.0,139594,25000,1256342,Bank Transfer,Returning,Medan,Low Stock,Delivered,5.0,Normal
